slang,meaning
Jittleyang,"Another word (see fuhuhluhtoogan) credited to Baltimore rapper, Richard Webster, that became popular on TikTok in late 2023. No clear definition exists but, as best we can tell, it refers to someone or something that grabs attention."
Juul,"A brand of electronic cigarettes, also known as a vape."
KDA,"An acronym that stands for: Kills/Deaths/Assists, a tally of how many kills, deaths, and assists a gamer has in a game."
Keep it 100,"To be honest, genuine, and authentic in all situations."
KMS,"An acronym that stands for Kill myself. Often used in a joking manner to express extreme frustration, disappointment, or annoyance with a situation. It can also be used when talking about suicide or self-harm."
Krunk,Extremely intoxicated with a mixture of alcohol and drugs.
KYS,"An acronym that stands for Kill yourself. An offensive and harmful phrase used to harass someone, often online."
L,"Loss, loser."
Left on read,"When someone has read a message sent to them, but has not responded to it."
Lewk,"A stylized spelling of “look.” A carefully curated or striking outfit, appearance, or aesthetic."
LFG,"An acronym that stands for: Let’s f**king go, excited for an upcoming event or competition."
Lit,"Exciting, excellent, or intoxicated."
LMAO,"An acronym that stands for: Laughing my a** off, indicates something is funny."
LMS,"An acronym that stands for: Like my status, used on social media asking for viewers to like the content."
LOL,"An acronym that stands for: Laugh out loud, expressing amusement at something."
Looksmaxxing,"Boys who are trying  to improve their appearance through various methods such as a new haircut, implementing a skincare routine, exercising, and changing their diets."
Mad,"Really, extremely, or crazy."
Menty b,Abbreviation for mental breakdown.
Mewing,A facial exercise technique involving proper tongue placement to accentuate a sharp jaw.
Mid,Average or not great.
Mogging,One- upping someone on appearance and attractiveness.
Munch,A person who performs oral sex on a woman.
Netflix and chill,A euphemism for hooking up.
NGL,"An acronym that stands for: Not gonna lie, admitting something honestly and openly."
NSFW,"An acronym that stands for Not safe for work. Used to label content, such as images, videos, or links, that may contain explicit or inappropriate material not suitable for viewing in a professional or public setting."
OMG,"An acronym that stands for: Oh my gosh/God, indicates something is shocking or surprising."
OML,"An acronym that stands for: Oh my Lord, an exclamation of surprise or excitement."
OMW,"An acronym that stands for: On my way, a way to indicate a person is en route."
ONG,"On God, a way to show strong agreement with something, similar to “I swear to God.”"
On fleek,"Perfectly done, exactly right, excellent."
On point,"Perfect, exactly right. "
Only in Ohio,Used to label things that are strange or cursed.
OTP,"An acronym that stands for One true pairing. Refers to a favorite or ideal romantic pairing between characters in a book, movie, TV show, or video game."
Periodt,Emphasizes the  finality and decisiveness of a statement.
PMOYS,An acronym that stands for Put me on your Snapchat. Used as a request or invitation to add someone to their list of Snapchat contacts. 
Poggers,"An expression of excitement, amazement, or enthusiasm. Mostly used by gamers."
Pressed,Feeling annoyed or stressed about something.
Pulling,To attract attention from romantic interests.
Put on blast,To embarrass someone publicly over social media by denouncing or exposing them.
Pwn,To have power over someone or something.
Rad,"Awesome, or very good."
Ratchet,"Someone who is out of control, or tacky."
Read,Publicly pointing out someone’s flaws.
Real,Another way to say “serious.” It is often used as part of other phrases like “the real real” or “be f**king for real” (often abbreviated to bffr).
Receipts,"Evidence or proof of someone’s actions or words, often used to support a claim."
Rent free,"Obsessing over someone or something, living inside someone’s head."
Rizz,The ability to seduce or charm a potential love interest.
ROTFLMAO,An acronym that stands for: Rolling on the floor laughing my a** off. A humorous and exaggerated way to express that something is funny or amusing.
RN,Abbreviation for: right now. Indicates something that’s happening at the present moment.
RPG,"An acronym that stands for: Role-playing game, a genre of games where the player controls a character and explores an imaginary world. "
Salty,"Upset, resentful, or irritated. "
Savage,A fierce or bold person.
Say less,"Agreement or understanding, so no further explanation is needed because the point has been understood."
Sending me,"Response to a funny text message, expressing extreme amusement."
Shade,Subtle contempt or disgust for someone.
Ship,To support the romantic relationship between two people.
Shook,Shocked or surprised.
Shorty,An attractive girl
Sick,Cool or awesome.
Sigma,"(or Sigma Male) a type for male who is cool, successful, and popular but introverted and possibly rebellious. It carries a similar meaning to the term “lone wolf.”"
Simp,Someone who is desperate for affection or romantic relationships.
Skibidi Toilet,"An animated YouTube series that depicts a dystopian world where mobile toilets with human heads popping out of their bowls war with humanoids who have cameras, speakers, or TVs for heads. By 2024, it has become popular with Gen Alpha and the youngest portion of Gen Z."
Slap,Amazing or excellent.
Slay,Doing something extremely well.
Slim thick/thicc,"A body type that combines both slimness and thickness. Usually someone who has a small waist, but wider hips and thighs, like an hourglass figure."
Small dick energy,"Someone who is insecure, but acts overly confident to compensate."
Smash,To have casual sex with someone or to hook up.
SMH,Abbreviation for shaking my head. Used when there are no words to describe something stupid.
Smol,"Describes something small, cute, or endearing."
Smut,Sexually explicit written content like romance novels or some fanfiction. 
Snatched,"Perfect, attractive."
Sneaky link,A secret hookup or relationship.
SO,"An acronym that stands for: Shout out, a public expression of greeting, praise, or acknowledgement directed towards a person. It is also known for Significant Other."
Stan,"A mixture of stalker and fan, someone who is obsessed with a person."
Stoked,Very Excited
Sus,"Suspicious, suspect. Often used as “slim sus” to mean “a little bit suspicious.” It originates from the game Among Us."
Swerve,To go out of one’s way to avoid someone.
Swole,Having big muscles.
Swoop,"To give someone a ride, or get a ride from someone."
Take a seat,"A dismissive or sarcastic remark, suggesting that someone should calm down or stop talking."
Tea,Gossiping about something.
TF,"Abbreviation for The f**k. Used to express surprise, disbelief, anger, or frustration."
TFW,"An acronym that stands for: That feeling when, used to describe an emotionally charged experience."
Thirsty,"Someone who is desperate or eager for attention, approval, or sex."
Thirst Trap,"A sexually provocative photo, video, or comment posted on social media, often with the intention of receiving attention from viewers. "
Totes,"Short for totally, completely."
Touch grass,Used to encourage someone to spend more time in the real world instead of online.
Twin,"A true friend or friend that is so close that the two share a long list of interests, experiences, or characteristics."
Twizzy,Variation of twin (see above).
Unc,"Short for uncle, used to refer to a cool millennial uncle or to refer to slightly older people in general."
Understood the assignment,When someone goes above and beyond.
Upper decky,A term for a Zyn (nicotine pouch) that’s placed against the upper gums.
V,Abbreviation for Very.
Vanilla,"Ordinary, boring, lacking special features."
Vibe,"A feeling, an ambience."
VSCO girl,"(pronounced visco), A young, usually white, girl who is adorned in trendy things and posts pictures edited on the VSCO app. "
W,"Win, Winner."
Wallflower,"An introvert, someone who avoids the limelight and is more comfortable standing on the sidelines of an activity."
Weird flex but ok,"Used to acknowledge someone’s unusual statement or action, typically in response to the boasting or showing off. A light-hearted way to express acceptance or indifference to something that might be considered odd."
Whip,"A car, especially one that is stylish."
Whole meal,Describes someone who looks really good.
Woke,"Someone who is aware of important facts, and racial and social injustices. "
WYA,An acronym that stands for Where you at? Commonly used in text messages to ask someone about their current location.
WYD,An acronym that stands for What you doing? A casual way to ask someone what they are currently doing.
Xan,"Abbreviation for: Xanax, a sedative used to treat anxiety which is often abused."
YAAS,"An enthusiastic way of saying “yes.” Used to express excitement, approval, or agreement."
Yeet,To throw something forcefully.
Zaddy,"A handsome, fashionable, older man."
