Book,Chapter,Verse,GenZ,Norm
Genesis,11,30,"And I made sure that all the animals on the earth, birds in the sky, and every living creature that crawls on the ground had plenty of green plants to eat. They all depended on it for survival, and that's exactly what happened. (By the way, when I say 'living creatures' I mean beings with a soul – pretty cool, huh?)","And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein {there is} life, {I have given} every green herb for meat: and it was so. {life: Heb. a living soul}"
Genesis,11,31,"And God looked at everything he created, and wow, it was totally awesome! And then the day turned into night and then back to morning, completing the sixth day.""}","And God saw every thing that he had made, and, behold, {it was} very good. And the evening and the morning were the sixth day. {And the evening...: Heb. And the evening was, and the morning was etc.}"
Genesis,21,2,"And like after finishing his epic creation, God was just like, 'Yo, I'm done.' So on the seventh day, he decided it was time to chill and take a break from all the hard work he put in.",And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
Genesis,21,3,"And God was like, 'Yo, the seventh day is lit af!' He blessed it and made it holy because He finally took a break from all the work He did in creating and making everything.","And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made. {created...: Heb. created to make}"
Genesis,21,4,"So, like, this is, like, the story of how the sky and the earth were made, ya know? It all happened way back in the day when the LORD God made everything, like the earth and the heavens.","These {are} the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,"
Genesis,21,5,"And before all the plants and herbs of the field could grow, before they even existed, God had not made it rain on the earth and there weren't any humans to take care of the land.","And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and {there was} not a man to till the ground."
Genesis,21,6,Then a mist rose from the earth and watered the entire surface of the ground.,"But there went up a mist from the earth, and watered the whole face of the ground. {there...: or, a mist which went up from, etc.}"
Genesis,21,7,God created the first person by shaping them from the dirt and breathing life into their nose. That's how they became a living being.,"And the LORD God formed man {of} the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul. {of the dust...: Heb. dust of the ground}"
Genesis,21,8,"So, like, God created this super rad garden in Eden and placed the dude He had made right there, to the east.",And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.
Genesis,21,9,"Then God, like, totally grew all these awesome trees from the ground that are, like, super pleasing to look at and great for munching on. There was even this one tree called the tree of life right in the middle of the garden, and another one called the tree of knowledge of good and evil.","And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil."
Genesis,21,10,"So, like, there was this totally rad river flowing out of Eden to water the garden. And then, it, like, split into four different streams, covering the whole place.","And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads."
Genesis,21,11,"The first spot is called Pison, and it's the area all around Havilah. You know, that place where they find lots of gold.","The name of the first {is} Pison: that {is} it which compasseth the whole land of Havilah, where {there is} gold;"
Genesis,21,12,The gold over there is legit amazing: they've got bdellium and onyx stones too.,And the gold of that land {is} good: there {is} bdellium and the onyx stone.
Genesis,21,13,"The second river is called Gihon—it's the one that flows all around the land of Ethiopia. (Ethiopia is also known as Cush, by the way.)",And the name of the second river {is} Gihon: the same {is} it that compasseth the whole land of Ethiopia. {Ethiopia: Heb. Cush}
Genesis,21,14,"The third river is called Hiddekel, and it flows towards the east of Assyria. The fourth river is the Euphrates.","And the name of the third river {is} Hiddekel: that {is} it which goeth toward the east of Assyria. And the fourth river {is} Euphrates. {toward...: or, eastward to Assyria}"
Genesis,21,15,"Then God, yo, took the homie and dropped him in the Garden of Eden to work on that greenery and keep it in check. The homie being Adam, you know what I'm saying?","And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it. {the man: or, Adam}"
Genesis,21,16,"So, like, God was straight up telling the dude, 'Yo, you can totally munch on any tree in the garden, like for real, go ahead and feast on all of it!'","And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat: {thou...: Heb. eating thou shalt eat}"
Genesis,21,17,"Yo, don't mess with that tree that's all about knowing good and evil. If you go ahead and eat from it, trust me, you're gonna be in major trouble. Like, you'll literally be doomed to die on the day you take a bite.","But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die. {thou shalt surely...: Heb. dying thou shalt die}"
Genesis,21,18,"Yo, the LORD God was like, it's not cool for this dude to be all by himself. I got his back though, I'm gonna create a perfect partner for him.","And the LORD God said, {It is} not good that the man should be alone; I will make him an help meet for him. {meet...: Heb. as before him}"
Genesis,21,19,"So, like, God created all the animals on the earth and in the sky, yo. And then He took them to Adam to see what he would name them, you know? And whatever names Adam gave them, that was their official name, man. (Adam could also mean the man, just saying.)","And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought {them} unto Adam to see what he would call them: and whatsoever Adam called every living creature, that {was} the name thereof. {Adam: or, the man}"
Genesis,21,20,"So, Adam was like, naming all the animals, the birds, and every wild creature out there. But, he couldn't find a suitable companion for himself.","And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him. {gave: Heb. called}"
Genesis,21,21,"So, God made Adam super tired and he fell into a really deep sleep. While he was snoozing, God took out one of his ribs and patched up the spot with flesh.","And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;"
Genesis,21,22,"Then God took one of Adam's ribs and used it to create a woman, whom He brought to Adam.","And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man. {made: Heb. builded}"
Genesis,21,23,"Adam was like, 'Yo, this girl is straight-up a part of me. She's made from my own bones and flesh, so let's call her Woman, 'cause she came from Man.' (In Hebrew, Woman is Isha, and Man is Ish.)","And Adam said, This {is} now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man. {Woman: Heb. Isha} {Man: Heb. Ish}"
Genesis,21,24,"So basically, when a dude grows up, he's gonna bounce from his parents and hang tight with his wifey. And let me tell you, they gonna be super connected, like they a single unit.","Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
Genesis,21,25,"So like, the man and his wife were totally without clothes, and they were cool with it, no shame or anything.""}","And they were both naked, the man and his wife, and were not ashamed."
Genesis,31,2,"The woman was like, 'Yo, Mr. Snake, we can totally chow down on any of the fruit from these wicked cool trees in the garden! 🍎🌳'","And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:"
Genesis,31,3,"But like, there's this tree in the garden, and God's like, 'Don't eat from it or even touch it, or you're toast.'"" }","But of the fruit of the tree which {is} in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die."
Genesis,31,4,"And the serpent was like, 'Nah, girl, you ain't gonna die for real:'","And the serpent said unto the woman, Ye shall not surely die:"
Genesis,31,5,"God knows that once you eat it, your eyes will be opened and you'll be able to understand good and evil, feeling a lot more enlightened, like gods.","For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil."
Genesis,31,6,"So, the woman looked at the tree and saw that it had delicious food on it and looked really nice. Plus, she thought it would make her wise. She couldn't resist, so she took a bite from its fruit and shared it with her husband. And guess what? He took a bite too.","And when the woman saw that the tree {was} good for food, and that it {was} pleasant to the eyes, and a tree to be desired to make {one} wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat. {pleasant: Heb. a desire}"
Genesis,31,7,"Then both of them suddenly became aware that they were naked. So, they quickly stitched together some fig leaves and fashioned them into cover-ups.","And the eyes of them both were opened, and they knew that they {were} naked; and they sewed fig leaves together, and made themselves aprons. {aprons: or, things to gird about}"
Genesis,31,8,"And they totally heard God's voice strolling through the garden, like chillaxing in the afternoon breeze. And Adam and his wifey were like, 'OMG, we gotta hide from the Almighty!' So they went all ninja mode, camouflaging themselves amongst the trees. BTW, 'cool' in Hebrew means 'wind'. No biggie.",And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden. {cool: Heb. wind}
Genesis,31,9,"God hollers at Adam like, 'Yo, where you at, bro?","And the LORD God called unto Adam, and said unto him, Where {art} thou?"
Genesis,31,10,"And he was like, yo, I heard you calling out in the garden and I got hella scared because I realized I was naked, so I straight up hid myself.","And he said, I heard thy voice in the garden, and I was afraid, because I {was} naked; and I hid myself."
Genesis,31,11,"And God was like, 'Who told you that you were naked? Did you eat from the tree even though I told you not to?'""}","And he said, Who told thee that thou {wast} naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?"
Genesis,31,12,"So the guy was like, 'Yo, God, it's not my fault! That chick you gave me, she made me eat from the tree!'","And the man said, The woman whom thou gavest {to be} with me, she gave me of the tree, and I did eat."
Genesis,31,13,"So, like, the Lord God was all like, yo woman, what's up with what you just did? And the woman was like, the snake tricked me, and I couldn't resist, and I ended up eating the thing.","And the LORD God said unto the woman, What {is} this {that} thou hast done? And the woman said, The serpent beguiled me, and I did eat."
Genesis,31,14,"And like, God was all like, 'Yo, serpent! Since you pulled that shady move, you're straight-up cursed more than any other animal out there. You'll be crawling on your belly and munching on dirt for the rest of your days, no joke.'","And the LORD God said unto the serpent, Because thou hast done this, thou {art} cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:"
Genesis,31,15,"And I will make things real tough between you and the woman, and between your crew and her crew; someone's gonna knock you down hard, but you'll manage to hurt them a bit too.","And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel."
Genesis,31,16,"To the woman, He said, 'I know things are going to get tough for you when it comes to giving birth and raising kids. It's gonna be a struggle, but your love and dedication will be towards your husband, and he will take the lead in your relationship. {'Subject to your husband' is another way to put it.}"" }","Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire {shall be} to thy husband, and he shall rule over thee. {to thy...: or, subject to thy husband}"
Genesis,31,17,"And God was like, 'Adam, bro, 'cause you listened to your wife and ate from that tree after I specifically told you not to, the ground is totally cursed now. You're gonna have to work super hard and deal with a lot of pain and struggle just to get food for the rest of your life, man.","And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed {is} the ground for thy sake; in sorrow shalt thou eat {of} it all the days of thy life;"
Genesis,31,18,"It's gonna be rough when it comes to growing stuff, you'll have to deal with thorns and thistles. And hey, forget about gourmet meals – you'll be feasting on plain ol' grass from the field. 🌱",Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field; {bring...: Heb. cause to bud}
Genesis,31,19,"You're gonna have to work hard to put food on the table, until the day you die and become one with the earth again. 'Cause hey, we all came from dust, and back to dust we go.","In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou {art}, and unto dust shalt thou return."
Genesis,31,20,"And Adam gave his wife the name Eve, because she was the mother of all living. {Eve: in Hebrew, her name is Chavah, which means Living}",And Adam called his wife's name Eve; because she was the mother of all living. {Eve: Heb. Chavah: that is Living}
Genesis,31,21,Then God hooked Adam and his wife up with some fresh animal skin drip.,"Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them."
Genesis,31,22,"Yo, God was like, check it, man has leveled up and is now vibing on our wavelength, knowing what's good and what's not. But hold up, if he goes ahead and snags some of that tree of life and chows down, he gonna live forever. Can't have that, tho.","And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:"
Genesis,31,23,"So, like, God was like 'bye' and kicked him out of the garden of Eden to go farming, which is where he came from in the first place.","Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken."
Genesis,31,24,"Then he kicked the guy out and put these angelic beings with flaming swords on the east side of the garden, guarding the path to the tree that gives everlasting life.""}","So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life."
Genesis,41,2,"Then she gave birth to another boy named Abel. Abel took care of sheep, while Cain worked as a farmer. (Abel means 'breath' in Hebrew. 'A keeper' means 'a feeder' in Hebrew.)","And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground. {Abel: Heb. Hebel} {a keeper: Heb. a feeder}"
Genesis,41,3,"After a while, Cain decided to bring an offering to the LORD. He brought some fruits from the ground as his offering.","And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD. {in process...: Heb. at the end of days}"
Genesis,41,4,"Abel rolled up with some top-notch sheep and some prime fat from his flock. And man, the big man upstairs was totally feeling it. He showed mad love to Abel and his offering.","And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering: {flock: Heb. sheep, or, goats}"
Genesis,41,5,But God did not approve of Cain and his offering. This made Cain really angry and upset.,"But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell."
Genesis,41,6,"And God was like, 'Dude, why you so pissed? What's up with that gloomy face of yours?'","And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen?"
Genesis,41,7,"Yo, if you're doing things right, won't you be accepted? But if you're not, sin is hanging out, ready to trip you up. And you, my friend, have the power to rule over it. #Respect","If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee {shall be} his desire, and thou shalt rule over him. {be accepted: or, have the excellency} {unto...: or, subject unto thee}"
Genesis,41,8,"So, Cain and Abel were having a convo, you know, just chillin' in the field. And then all of a sudden, out of nowhere, Cain straight up attacked Abel and, unfortunately, killed him.","And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him."
Genesis,41,9,"And God was like, 'Hey Cain, where's your brother Abel?' And Cain was like, 'IDK man, am I supposed to be responsible for him?'","And the LORD said unto Cain, Where {is} Abel thy brother? And he said, I know not: {Am} I my brother's keeper?"
Genesis,41,10,"And God was like, 'Dude, what did you do? Your brother's blood is literally calling out to me from the ground. It's like a super intense cry for justice, you know? #bloods","And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground. {blood: Heb. bloods}"
Genesis,41,11,"And now, it's like a major bummer, but the earth is totally not vibing with you anymore. It opened up and took in your bro's blood after you messed up big time.","And now {art} thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;"
Genesis,41,12,"When you work the land, it won't produce its harvest for you anymore. You'll wander the earth as a lost soul, forever on the run.","When thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth."
Genesis,41,13,"Cain was like, Godd, this punishment you're giving me is just too much for me to handle. My mistakes are so heavy, it feels like they can't be forgiven.'"" }","And Cain said unto the LORD, My punishment {is} greater than I can bear. {My...: or, Mine iniquity is greater than that it may be forgiven}"
Genesis,41,14,"Yo, check it. Today, you've totally kicked me outta this place and now I won't be able to see you anymore. I'm gonna be like a wanderer without a home, just roaming around. And guess what? Anyone who crosses paths with me is gonna wanna take me out.","Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, {that} every one that findeth me shall slay me."
Genesis,41,15,"Then God said to him, look, if anyone kills Cain, they will face seven times the punishment. So God marked Cain to protect him from anyone who might harm him.","And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him."
Genesis,41,16,"So Cain bounced out of God's sight and settled down in this cool place called Nod, over yonder east of Eden.","And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden."
Genesis,41,17,"So Cain and his wife got together and she became pregnant and gave birth to a son named Enoch. Then Cain went on to build a city and named it after his son, Enoch.","And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch. {Enoch: Heb. Chanoch}"
Genesis,41,18,"And then Enoch became a father to Irad, who later had a son named Mehujael. Mehujael in turn had a son named Methusael, and Methusael was the father of Lamech. (Note: Lamech is the same as Lemech in Hebrew.)",And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech. {Lamech: Heb. Lemech}
Genesis,41,19,Lamech was totally down with having two wives - one called Adah and the other called Zillah.,"And Lamech took unto him two wives: the name of the one {was} Adah, and the name of the other Zillah."
Genesis,41,20,And Adah gave birth to Jabal: he was like the OG dad of those who live in tents and have cattle.,"And Adah bare Jabal: he was the father of such as dwell in tents, and {of such as have} cattle."
Genesis,41,21,"Jubal, the dude's brother, was all about those sick tunes. He was like, the OG who started the whole harp and organ trend.",And his brother's name {was} Jubal: he was the father of all such as handle the harp and organ.
Genesis,41,22,"And Zillah also had Tubalcain, who was known for his skills in working with brass and iron. Tubalcain's sister was named Naamah. (Whetter means someone who sharpens tools)","And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain {was} Naamah. {instructer: Heb. whetter}"
Genesis,41,23,"Lamech was like, 'Listen up, Adah and Zillah, my badass wives! Pay attention to what I'm saying: I totally messed up by killing a dude, and it's seriously messing with me. It's like I hurt myself by attacking this young guy. It's messed up, man.'","And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt. {I have...: or, I would slay a man in my wound, etc.} {to my hurt: or, in my hurt}"
Genesis,41,24,"If someone messes with Cain and gets seven times the punishment, then just imagine how intense it'll be for anyone who messes with Lamech, 'cause he's gonna bring it seventy-seven times harder.","If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold."
Genesis,41,25,"And Adam got to know his wife again, and she gave birth to a son and named him Seth. She said, Godd has given me another child to replace Abel, whom Cain killed.' (Seth means 'appointed' or 'put' in Hebrew.)","And Adam knew his wife again; and she bare a son, and called his name Seth: For God, {said she}, hath appointed me another seed instead of Abel, whom Cain slew. {Seth: Heb. Sheth: that is Appointed, or, Put}"
Genesis,41,26,"And Seth had a son named Enos, which means human. It was around this time that people started connecting with the divine and seeking guidance from the LORD.""}","And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD. {Enos: Heb. Enosh} {to call...: or, to call themselves by the name of the Lord}"
Exodus,11,2,"Yo, fam! Check out these OG brothers: Reuben, Simeon, Levi, and Judah,","Reuben, Simeon, Levi, and Judah,"
Exodus,11,3,"Issa, Zeb, and Benji,","Issachar, Zebulun, and Benjamin,"
Exodus,11,4,"Yo, it's Dan, Naphtali, Gad, and Asher.","Dan, and Naphtali, Gad, and Asher."
Exodus,11,5,"So, like, all the people who came from Jacob's fam were like seventy in total, 'cause Joseph was already livin' it up in Egypt, you know? Oh, and when it says 'loins', it actually means 'thigh' in Hebrew, just an FYI.",And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt {already}. {loins: Heb. thigh}
Exodus,11,6,"And Joseph passed away, along with all his squad, and everyone from that OG crew.","And Joseph died, and all his brethren, and all that generation."
Exodus,11,7,"So, like, the Israelite kids were totally productive and grown big time, and they multiplied like crazy, becoming super strong; and the whole land was, like, totally packed with them.","And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them."
Exodus,11,8,"So basically, there was this new ruler in Egypt who had no clue who Joseph was.","Now there arose up a new king over Egypt, which knew not Joseph."
Exodus,11,9,"Yo, listen up fam, check this out: Them Israelites, man, they be mad deep and straight up powerful compared to us, ya know?","And he said unto his people, Behold, the people of the children of Israel {are} more and mightier than we:"
Exodus,11,10,"Alright, listen up, let's handle this situation smartly; otherwise, they might increase in numbers and if a war breaks out, they might team up with our enemies and end up leaving our land.","Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and {so} get them up out of the land."
Exodus,11,11,"So they appointed supervisors to make them suffer under heavy workloads. And they constructed cities of wealth, Pithom and Raamses, for Pharaoh.","Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses."
Exodus,11,12,"But like, the more they messed with the Israelites, the more they multiplied and thrived. And, it totally annoyed them because of the big Israelite fam.","But the more they afflicted them, the more they multiplied and grew. And they were grieved because of the children of Israel. {But...: Heb. And as they afflicted them, so they multiplied, etc}"
Exodus,11,13,"So, like, the Egyptians totally forced the Israelites to work super hard and be slaves and stuff:",And the Egyptians made the children of Israel to serve with rigour:
Exodus,11,14,"And they made life miserable for them with tough, grueling work. They forced them to work with morter, bricks, and all sorts of labor in the fields. Every task they were given was filled with harshness and severity.","And they made their lives bitter with hard bondage, in morter, and in brick, and in all manner of service in the field: all their service, wherein they made them serve, {was} with rigour."
